NEGATED	ALTERNATIVE	RELATION	MEANRATING	SPLIT
giraffe	elephant	free_association	4.2	train
sparrow	contract	unrelated	1.4	train
bottle	bath	cohyponym	1.6	test
trumpet	clarinet	free_association	4.6	test
hawk	board	hypernym	1.1	dev
bag	dance	unrelated	1.0	test
castle	prince	free_association	4.2	dev
goat	antelope	cohyponym	4.3	train
swan	lead	unrelated	1.3	train
dress	membership	unrelated	1.1	dev
lemon	form	unrelated	1.5	train
dagger	axe	distributional	4.6	test
garlic	onion	free_association	4.4	train
wasp	caterpillar	visual	4.2	test
coat	owl	visual	1.1	train
falcon	vehicles	unrelated	1.1	train
goat	satan	free_association	1.3	train
goat	someone	hypernym	1.6	train
bus	train	cohyponym	4.6	train
wasp	pain	free_association	1.4	test
deer	caribou	hyponym	4.3	train
broccoli	oak	visual	1.7	train
garlic	sense	unrelated	1.3	train
poplar	island	unrelated	1.8	test
sparrow	finch	visual	4.3	train
oven	culture	unrelated	1.1	train
coat	gorilla	visual	1.0	train
swan	thing	unrelated	1.8	train
hawk	software	unrelated	1.1	dev
trumpet	equipment	unrelated	3.3	test
garlic	situation	unrelated	1.5	train
scooter	bikes	distributional	4.3	test
dress	trousers	visual	4.4	dev
beaver	teeth	free_association	1.6	train
trumpet	subjects	unrelated	1.1	test
shirt	nightgown	visual	4.7	test
poplar	space	unrelated	1.2	test
coat	everyone	unrelated	1.3	train
bottle	wrench	visual	1.5	test
oven	barbecue	functional	4.1	train
frog	toad	distributional	4.6	dev
shirt	jacket	free_association	4.3	test
ferry	junk	cohyponym	2.0	train
radio	ship	unrelated	1.4	train
truck	car	hypernym	4.6	dev
goat	back	unrelated	1.0	train
cat	pet	functional	4.3	test
bottle	keg	distributional	4.0	test
coat	pigment	hyponym	1.3	train
broccoli	display	unrelated	1.1	train
truck	jeep	functional	4.4	dev
dress	polonaise	hyponym	1.4	dev
chair	arm	free_association	1.6	train
frog	camel	visual	4.0	dev
goose	heron	distributional	4.4	test
lemon	cranberry	visual	4.5	train
coat	seal	hyponym	1.2	train
cat	cheetah	hyponym	4.5	test
jacket	topcoat	cohyponym	4.8	train
sparrow	blackbird	visual	4.8	train
goose	potential	unrelated	1.5	test
hornet	wasp	free_association	4.7	train
crow	pathetic	functional	1.4	dev
falcon	hobby	hyponym	1.1	train
crow	freedom	unrelated	1.2	dev
broccoli	sprouts	distributional	4.5	train
crow	bark	cohyponym	1.4	dev
falcon	performance	unrelated	1.2	train
potato	head	free_association	1.3	test
deer	capacity	unrelated	1.1	train
castle	services	unrelated	1.6	dev
potato	skin	free_association	2.4	test
wasp	bug	free_association	4.6	test
trumpet	flute	free_association	4.3	test
television	tube	free_association	1.9	test
deer	foxes	distributional	4.3	train
wasp	moth	distributional	4.4	test
toaster	fridge-freezer	distributional	3.6	train
broccoli	anyone	unrelated	1.1	train
garlic	lard	functional	3.5	train
swan	type	unrelated	1.2	train
hornet	mother	unrelated	1.3	train
garlic	face	unrelated	1.0	train
garlic	name	unrelated	1.1	train
yacht	bareboat	cohyponym	3.7	train
castle	cent	unrelated	1.4	dev
beaver	knowledge	unrelated	1.0	train
hornet	car	free_association	1.0	train
truck	research	unrelated	1.2	dev
goat	soul	hypernym	1.2	train
lemon	regulations	unrelated	1.1	train
yacht	sail	distributional	3.2	train
mug	cups	distributional	4.2	train
goat	dairy	functional	2.1	train
frog	salamander	cohyponym	4.5	dev
goat	patsy	cohyponym	1.3	train
potato	vegetable	hypernym	4.3	test
bottle	split	hyponym	1.4	test
frog	images	unrelated	1.3	dev
ferry	character	unrelated	1.2	train
potato	evening	unrelated	1.1	test
hawk	account	unrelated	1.1	dev
giraffe	cheetah	visual	4.1	train
frog	amphibian	hypernym	4.3	dev
mug	face	hypernym	1.0	train
frog	room	unrelated	1.0	dev
hornet	bee	free_association	4.5	train
sparrow	funding	unrelated	1.0	train
falcon	crayon	visual	1.1	train
swan	fee	unrelated	1.2	train
falcon	rates	unrelated	1.2	train
dagger	sword	free_association	4.6	test
flute	washout	cohyponym	1.1	test
dress	sari	hyponym	4.4	dev
trumpet	tuba	free_association	4.6	test
cranberry	pumpkin	visual	4.3	test
dress	clothing	hypernym	4.4	dev
dress	garment	functional	4.6	dev
dress	clothes	cohyponym	4.5	dev
yacht	vessel	hypernym	3.8	train
lemon	grapefruit	cohyponym	4.4	train
truck	door	visual	1.2	dev
hornet	floatplane	distributional	1.1	train
dress	skirt	functional	4.7	dev
giraffe	route	unrelated	1.2	train
corn	grain	hypernym	4.8	test
dress	poverty	unrelated	1.4	dev
chair	claim	unrelated	1.1	train
falcon	eagle	distributional	4.6	train
dress	jacket	visual	4.3	dev
goose	leaders	unrelated	1.5	test
jacket	clothes	free_association	4.0	train
dress	top	cohyponym	4.3	dev
castle	mansion	hypernym	4.9	dev
goat	person	hypernym	1.6	train
falcon	buzzard	cohyponym	4.5	train
castle	lunette	cohyponym	1.3	dev
dagger	drug	unrelated	1.5	test
castle	fortification	hypernym	4.5	dev
chair	leg	free_association	1.7	train
chair	seat	hypernym	4.6	train
bus	taxi	functional	4.5	train
jacket	shell	hypernym	1.7	train
lizard	tongue	free_association	1.2	test
flute	player	free_association	3.7	test
trumpet	bagpipe	functional	4.4	test
beaver	home	unrelated	1.2	train
flute	instrument	hypernym	4.7	test
toaster	procedures	unrelated	1.3	train
beaver	brown	free_association	1.7	train
cat	cushion	functional	1.2	test
flute	horn	free_association	4.4	test
dress	jumper	hyponym	3.5	dev
potato	potatoes	distributional	4.4	test
toaster	toilet	visual	1.7	train
dagger	bayonet	cohyponym	4.8	test
potato	need	unrelated	1.5	test
beaver	penguin	visual	3.7	train
toaster	supporter	hypernym	1.2	train
wasp	housefly	visual	4.4	test
bottle	command	unrelated	1.0	test
bottle	models	unrelated	1.2	test
lemon	part	unrelated	1.1	train
ferry	drive	functional	1.2	train
jacket	property	unrelated	1.5	train
library	chamber	cohyponym	3.0	test
bottle	cap	free_association	3.9	test
truck	tractor	hyponym	4.4	dev
freezer	body	unrelated	1.4	train
mug	teapot	distributional	4.0	train
coat	patina	hyponym	1.6	train
library	building	hypernym	4.5	test
lemon	car	free_association	1.3	train
lizard	salamander	distributional	4.8	test
crow	books	unrelated	1.4	dev
swan	children	unrelated	1.2	train
shirt	back	free_association	1.6	test
jacket	structure	unrelated	1.1	train
dagger	government	unrelated	1.0	test
potato	years	unrelated	1.4	test
bus	topology	hypernym	1.1	train
ferry	sail	distributional	2.1	train
shirt	charge	unrelated	1.1	test
scooter	products	unrelated	1.7	test
beaver	months	unrelated	1.5	train
yacht	ship	free_association	4.7	train
goat	point	unrelated	1.1	train
corn	sales	unrelated	1.4	test
goose	bird	free_association	4.2	test
radio	treatment	unrelated	1.0	train
truck	snowplough	cohyponym	3.8	dev
goose	pheasant	distributional	4.6	test
truck	trip	functional	1.2	dev
coat	casing	cohyponym	1.5	train
poplar	step	unrelated	1.3	test
goldfish	fish	hypernym	4.7	test
flute	trumpet	free_association	4.8	test
trumpet	sources	unrelated	1.6	test
scooter	voyage	functional	1.0	test
bus	local	cohyponym	1.3	train
trout	offices	unrelated	1.1	test
wasp	supply	unrelated	1.3	test
poplar	elm	distributional	4.5	test
coat	plating	hyponym	1.2	train
lemon	cantaloupe	visual	4.1	train
bottle	size	unrelated	1.1	test
mug	basin	cohyponym	1.6	train
scooter	songs	unrelated	1.0	test
goat	cow	free_association	4.4	train
yacht	ocean	free_association	4.2	train
trout	cod	distributional	4.4	test
dress	regalia	cohyponym	1.4	dev
beaver	raccoon	distributional	4.4	train
bus	ground	unrelated	1.2	train
freezer	ice	functional	3.8	train
crow	eat	free_association	1.0	dev
bottle	place	unrelated	1.0	test
flute	xylophone	functional	4.4	test
hawk	communication	unrelated	1.0	dev
broccoli	bouquet	visual	1.3	train
flute	status	unrelated	1.0	test
yacht	distribution	unrelated	1.1	train
sieve	surface	unrelated	1.1	dev
ferry	gunboat	cohyponym	4.1	train
shirt	dress	visual	4.6	test
wasp	sector	unrelated	1.0	test
corn	notice	unrelated	1.1	test
deer	giraffe	cohyponym	4.3	train
lizard	turtle	distributional	3.9	test
falcon	bat	visual	4.1	train
hawk	wedding	unrelated	1.6	dev
trumpet	instrument	hypernym	4.9	test
toaster	friend	hypernym	1.2	train
falcon	goose	visual	4.4	train
garlic	earmuffs	visual	1.3	train
hawk	disease	unrelated	1.2	dev
trumpet	crown	visual	1.3	test
bottle	glasses	distributional	3.7	test
trout	anchovy	cohyponym	3.6	test
coat	jeans	visual	4.3	train
potato	carrot	cohyponym	4.6	test
television	baby	unrelated	1.3	test
ferry	practices	unrelated	1.0	train
falcon	guidance	unrelated	1.2	train
broccoli	food	free_association	4.7	train
hornet	raisin	visual	1.4	train
hornet	bug	free_association	4.5	train
scooter	rocketship	functional	1.7	test
deer	dog	functional	4.4	train
dress	eveningwear	hyponym	4.5	dev
jacket	newmarket	cohyponym	1.0	train
hornet	seaplane	distributional	1.2	train
cranberry	figure	unrelated	1.5	test
goose	fool	hypernym	1.7	test
frog	lizard	distributional	4.2	dev
giraffe	zebra	distributional	4.7	train
jacket	gown	visual	3.0	train
radio	cornet	functional	1.7	train
cypress	pines	distributional	4.5	test
shirt	loincloth	cohyponym	3.7	test
cranberry	future	unrelated	1.2	test
flute	guitar	functional	4.6	test
bag	baggage	hypernym	4.1	test
goose	league	unrelated	1.0	test
bag	players	unrelated	1.5	test
alligator	buff	cohyponym	1.5	test
lizard	snake	distributional	4.6	test
truck	projects	unrelated	1.1	dev
bottle	sterilizer	cohyponym	1.4	test
corn	conference	unrelated	1.3	test
falcon	hawk	hypernym	4.7	train
falcon	birch	visual	1.5	train
cypress	market	unrelated	1.1	test
garlic	basil	functional	3.9	train
giraffe	feet	unrelated	1.6	train
bottle	morning	unrelated	1.2	test
dagger	slice	functional	1.7	test
broccoli	cauliflower	free_association	4.7	train
truck	one	unrelated	1.2	dev
flute	rut	cohyponym	1.2	test
oven	capital	unrelated	1.3	train
jacket	rocker	visual	1.5	train
castle	moat	free_association	4.0	dev
flute	peace	unrelated	1.3	test
corn	sentimentality	hypernym	1.1	test
bottle	cup	functional	4.4	test
television	train	unrelated	1.2	test
bus	fridge	visual	1.2	train
swan	flamingo	visual	4.6	train
radio	video	cohyponym	4.0	train
goose	flamingo	visual	4.2	test
cranberry	risk	unrelated	1.0	test
bus	learning	unrelated	1.0	train
mug	flask	distributional	4.3	train
trout	sardine	visual	4.6	test
beaver	groundhog	visual	4.4	train
broccoli	spinach	free_association	4.8	train
dress	player	unrelated	1.5	dev
cat	friend	functional	1.4	test
frog	moth	visual	4.0	dev
freezer	shelf	functional	1.7	train
ferry	access	unrelated	1.2	train
dress	rig	hyponym	1.2	dev
falcon	canary	visual	4.7	train
castle	bristol	functional	1.2	dev
goose	clown	cohyponym	1.7	test
ferry	term	functional	1.5	train
mug	bottle	cohyponym	4.5	train
cranberry	pineapple	visual	4.0	test
poplar	chair	unrelated	1.6	test
crow	raven	cohyponym	4.9	dev
freezer	refrigerator	free_association	4.8	train
truck	vans	distributional	4.7	dev
coat	parka	visual	5.0	train
goldfish	chinchilla	distributional	3.7	test
crow	term	functional	1.1	dev
television	strength	unrelated	1.2	test
sparrow	railway	unrelated	1.2	train
scooter	perambulator	cohyponym	2.0	test
ferry	boat	hypernym	4.8	train
bottle	flask	hyponym	4.4	test
freezer	can	functional	1.5	train
sieve	elements	unrelated	1.5	dev
dress	shirt	visual	4.4	dev
frog	iguana	visual	4.5	dev
