NEGATED	ALTERNATIVE	RELATION	MEANRATING	SPLIT
chair	couch	free_association	4.4	train
hawk	warmonger	hypernym	1.4	dev
garlic	chopstick	functional	1.2	train
trumpet	saxophone	distributional	4.6	test
dagger	diamond	functional	1.5	test
lizard	ball	unrelated	1.1	test
bus	minibus	hyponym	4.7	train
cat	bruiser	cohyponym	1.1	test
sparrow	department	unrelated	1.0	train
dagger	chisel	visual	3.1	test
scooter	duty	unrelated	1.3	test
broccoli	history	unrelated	1.0	train
bag	napkin	visual	1.5	test
beaver	chance	unrelated	1.0	train
library	boardroom	cohyponym	4.2	test
dress	accessory	cohyponym	2.7	dev
oven	wagon	visual	1.3	train
chair	councillor	distributional	1.4	train
trout	tomahawk	visual	1.5	test
sieve	decisions	unrelated	1.0	dev
bag	tin	cohyponym	1.7	test
truck	fact	unrelated	1.6	dev
castle	discussion	unrelated	1.0	dev
toaster	bread	free_association	1.5	train
coat	raincoat	hyponym	4.6	train
hawk	eye	free_association	1.3	dev
beaver	chapeau	hypernym	1.4	train
castle	sand	free_association	1.6	dev
scooter	go-cart	cohyponym	3.7	test
potato	starches	hypernym	2.3	test
jacket	circumstances	unrelated	1.1	train
television	video	free_association	3.7	test
corn	authority	unrelated	1.5	test
dress	vest	functional	4.6	dev
trout	science	unrelated	1.3	test
potato	fat	free_association	1.7	test
beaver	wood	free_association	1.3	train
shirt	awareness	unrelated	1.2	test
toaster	kitchen	free_association	1.8	train
cranberry	coulis	distributional	2.6	test
crow	jay	cohyponym	4.3	dev
radio	cover	unrelated	1.4	train
castle	barony	distributional	1.7	dev
coat	rendering	hyponym	1.4	train
ferry	awards	unrelated	1.4	train
mug	game	unrelated	1.3	train
freezer	programs	unrelated	1.0	train
coat	otter	visual	1.0	train
goose	geese	free_association	3.7	test
radio	receiver	hypernym	3.7	train
dress	interests	unrelated	1.5	dev
castle	state	unrelated	1.7	dev
goose	group	unrelated	1.0	test
hawk	context	unrelated	1.1	dev
mug	design	unrelated	1.1	train
lemon	savour	hypernym	1.3	train
cranberry	music	unrelated	1.5	test
deer	economy	unrelated	1.0	train
bag	forklift	functional	1.1	test
bus	trip	functional	1.5	train
chair	place	hypernym	1.3	train
library	football	unrelated	1.3	test
yacht	females	unrelated	1.1	train
sparrow	period	unrelated	1.2	train
crow	cry	hypernym	1.4	dev
shirt	deoderant	functional	1.6	test
sparrow	contract	unrelated	1.2	train
library	mail	functional	1.6	test
giraffe	session	unrelated	1.2	train
bottle	bath	cohyponym	1.1	test
mug	glass	functional	4.3	train
trumpet	clarinet	free_association	4.5	test
bag	dance	unrelated	1.2	test
corn	chicken	functional	1.6	test
castle	prince	free_association	1.3	dev
library	campus	distributional	3.5	test
cranberry	walnut	visual	2.6	test
goat	antelope	cohyponym	4.2	train
swan	lead	unrelated	1.2	train
dress	membership	unrelated	1.2	dev
bus	jeep	functional	4.2	train
lemon	form	unrelated	1.5	train
yacht	policy	unrelated	1.0	train
sieve	comb	distributional	1.6	dev
garlic	onion	free_association	4.5	train
coat	owl	visual	1.0	train
falcon	vehicles	unrelated	1.5	train
castle	queen	free_association	1.5	dev
castle	royal	functional	1.5	dev
goat	satan	free_association	1.5	train
goat	someone	hypernym	1.4	train
wasp	pain	free_association	1.0	test
broccoli	oak	visual	1.3	train
bottle	baby	free_association	1.2	test
jacket	parka	hyponym	4.5	train
bag	bunker	cohyponym	1.1	test
garlic	sense	unrelated	1.2	train
poplar	island	unrelated	1.1	test
beaver	water	free_association	1.6	train
oven	culture	unrelated	1.5	train
scooter	wheel	cohyponym	2.3	test
coat	gorilla	visual	1.3	train
dagger	crease	hyponym	1.2	test
bottle	jug	hyponym	4.3	test
hawk	software	unrelated	1.0	dev
trumpet	equipment	unrelated	1.8	test
freezer	fridge/freezer	distributional	4.8	train
garlic	situation	unrelated	1.2	train
castle	title	unrelated	1.2	dev
beaver	teeth	free_association	1.4	train
dress	workwear	hyponym	4.5	dev
trumpet	subjects	unrelated	1.1	test
flute	network	unrelated	1.1	test
poplar	space	unrelated	1.2	test
library	libraries	distributional	2.5	test
coat	everyone	unrelated	1.0	train
castle	goals	unrelated	1.5	dev
truck	thruway	functional	1.6	dev
oven	barbecue	functional	3.5	train
frog	toad	distributional	4.7	dev
corn	cheese	functional	2.2	test
truck	car	hypernym	4.2	dev
goat	back	unrelated	1.0	train
cat	pet	functional	3.5	test
cat	fellow	cohyponym	1.7	test
garlic	dish	visual	1.3	train
coat	pigment	hyponym	1.2	train
broccoli	display	unrelated	1.1	train
frog	adornment	hypernym	1.6	dev
truck	jeep	functional	4.5	dev
dress	polonaise	hyponym	1.4	dev
television	animatronics	functional	1.7	test
chair	arm	free_association	1.1	train
truck	trailer	distributional	3.8	dev
goose	heron	distributional	4.4	test
oven	microwave	free_association	4.5	train
radio	clubs	unrelated	1.2	train
coat	seal	hyponym	1.5	train
frog	institutions	unrelated	1.1	dev
cat	cheetah	hyponym	4.4	test
sparrow	blackbird	visual	4.7	train
goose	potential	unrelated	1.3	test
crow	pathetic	functional	1.1	dev
falcon	hobby	hyponym	1.2	train
crow	freedom	unrelated	1.1	dev
dagger	chop	functional	1.6	test
broccoli	sprouts	distributional	3.9	train
potato	head	free_association	1.0	test
castle	services	unrelated	1.0	dev
crow	children	functional	1.2	dev
coat	gilt	hyponym	1.2	train
potato	cannot	unrelated	1.2	test
cranberry	garlic	visual	2.6	test
potato	skin	free_association	1.7	test
trumpet	flute	free_association	3.8	test
wasp	moth	distributional	4.5	test
truck	hearse	cohyponym	3.1	dev
hornet	people	unrelated	1.0	train
ferry	building	unrelated	1.6	train
jacket	quilt	functional	2.9	train
ferry	castle	functional	1.3	train
broccoli	anyone	unrelated	1.0	train
dress	kaftan	hyponym	4.2	dev
castle	residence	hypernym	4.0	dev
lemon	tree	free_association	1.3	train
coat	winter	functional	1.2	train
swan	type	unrelated	1.0	train
bus	people	free_association	1.1	train
garlic	face	unrelated	1.4	train
garlic	lettuce	visual	2.4	train
castle	farmhouse	functional	3.8	dev
garlic	name	unrelated	1.0	train
crow	cloud	functional	1.2	dev
castle	cent	unrelated	1.1	dev
beaver	knowledge	unrelated	1.3	train
truck	research	unrelated	1.1	dev
lemon	regulations	unrelated	1.5	train
deer	calf	visual	4.4	train
mug	cups	distributional	3.6	train
yacht	luxury	free_association	1.5	train
goat	dairy	functional	1.2	train
frog	salamander	cohyponym	3.2	dev
scooter	jeep	functional	2.6	test
hornet	whale	visual	2.0	train
goat	patsy	cohyponym	1.2	train
library	aircraft	unrelated	1.3	test
bottle	split	hyponym	1.2	test
ferry	character	unrelated	1.0	train
potato	evening	unrelated	1.1	test
hawk	account	unrelated	1.2	dev
mug	face	hypernym	1.6	train
frog	room	unrelated	1.2	dev
sparrow	funding	unrelated	1.3	train
castle	house	free_association	4.1	dev
falcon	crayon	visual	1.0	train
freezer	door	visual	1.4	train
library	archives	distributional	4.2	test
trout	sushi	functional	2.7	test
shirt	vest	visual	4.2	test
swan	fee	unrelated	1.1	train
falcon	rates	unrelated	1.1	train
flute	washout	cohyponym	1.1	test
dress	sari	hyponym	4.4	dev
trumpet	tuba	free_association	4.5	test
cranberry	pumpkin	visual	2.6	test
dress	clothes	cohyponym	3.4	dev
lemon	grapefruit	cohyponym	4.8	train
truck	door	visual	1.2	dev
dress	skirt	functional	4.2	dev
truck	rig	hyponym	4.1	dev
broccoli	cabbage	cohyponym	4.5	train
mug	bag	cohyponym	1.3	train
giraffe	route	unrelated	1.2	train
dress	poverty	unrelated	1.1	dev
chair	claim	unrelated	1.3	train
falcon	eagle	distributional	4.6	train
wasp	parakeet	visual	1.8	test
alligator	crush	cohyponym	1.4	test
goose	leaders	unrelated	1.3	test
castle	mansion	hypernym	4.1	dev
goat	person	hypernym	1.6	train
falcon	buzzard	cohyponym	4.9	train
freezer	fridge-freezer	distributional	4.7	train
dagger	drug	unrelated	1.0	test
castle	fortification	hypernym	4.4	dev
bus	communities	unrelated	1.1	train
wasp	cockroach	distributional	3.2	test
bus	taxi	functional	3.6	train
jacket	shell	hypernym	1.8	train
lizard	tongue	free_association	1.4	test
scooter	railcar	cohyponym	2.4	test
dagger	murder	free_association	1.4	test
castle	abbey	distributional	4.2	dev
toaster	procedures	unrelated	1.3	train
freezer	food	free_association	1.4	train
coat	wool	hyponym	2.1	train
beaver	brown	free_association	1.4	train
flute	horn	free_association	3.6	test
dress	jumper	hyponym	3.6	dev
cat	lion	hyponym	4.2	test
dagger	bayonet	cohyponym	4.7	test
potato	need	unrelated	1.1	test
toaster	supporter	hypernym	1.2	train
wasp	housefly	visual	4.8	test
garlic	steak	functional	1.8	train
bottle	command	unrelated	1.0	test
bottle	models	unrelated	1.2	test
lemon	part	unrelated	1.2	train
crow	items	unrelated	1.2	dev
library	bedchamber	cohyponym	2.5	test
ferry	drive	functional	1.3	train
scooter	stroller	cohyponym	2.7	test
jacket	property	unrelated	1.2	train
television	nbc	distributional	2.2	test
library	chamber	cohyponym	4.0	test
bottle	cap	free_association	1.6	test
truck	tractor	hyponym	3.6	dev
freezer	body	unrelated	1.1	train
mug	teapot	distributional	4.2	train
coat	bag	visual	1.8	train
library	deposit	hypernym	1.1	test
lemon	car	free_association	1.4	train
truck	tire	free_association	2.0	dev
chair	vice	distributional	1.5	train
lizard	salamander	distributional	4.7	test
crow	books	unrelated	1.0	dev
swan	children	unrelated	1.1	train
shirt	back	free_association	1.3	test
giraffe	africa	free_association	1.5	train
dagger	government	unrelated	1.1	test
bottle	glass	functional	4.2	test
potato	years	unrelated	1.0	test
hawk	sky	free_association	1.4	dev
yacht	canal	functional	1.5	train
shirt	charge	unrelated	1.6	test
garlic	views	unrelated	1.0	train
mug	ale	functional	1.7	train
scooter	products	unrelated	1.2	test
goat	farm	free_association	1.4	train
yacht	ship	free_association	4.6	train
goat	point	unrelated	1.0	train
scooter	sports	unrelated	1.2	test
scooter	trike	distributional	4.2	test
mug	tank	visual	1.6	train
corn	sales	unrelated	1.0	test
corn	example	unrelated	1.0	test
scooter	van	functional	2.4	test
crow	park	unrelated	1.2	dev
truck	snowplough	cohyponym	4.0	dev
goose	pheasant	distributional	4.1	test
dagger	attack	unrelated	1.0	test
truck	trip	functional	1.2	dev
coat	casing	cohyponym	1.5	train
trumpet	alligator	visual	1.1	test
garlic	spaghetti	free_association	2.4	train
poplar	step	unrelated	1.5	test
dagger	blood	free_association	1.0	test
flute	thimble	visual	1.4	test
trumpet	sources	unrelated	1.1	test
scooter	voyage	functional	1.3	test
bus	local	cohyponym	1.0	train
trout	offices	unrelated	1.0	test
wasp	supply	unrelated	1.1	test
goat	man	functional	1.5	train
poplar	elm	distributional	4.7	test
bottle	size	unrelated	1.1	test
dress	colander	visual	1.3	dev
yacht	seaman	functional	1.7	train
cat	kitten	free_association	4.4	test
beaver	raccoon	distributional	4.5	train
bus	ground	unrelated	1.1	train
crow	eat	free_association	1.0	dev
bottle	place	unrelated	1.2	test
flute	xylophone	functional	3.9	test
lemon	artifact	hypernym	1.5	train
radio	music	free_association	2.3	train
hawk	communication	unrelated	1.4	dev
wasp	flea	visual	4.0	test
cranberry	features	unrelated	1.2	test
flute	status	unrelated	1.2	test
yacht	distribution	unrelated	1.2	train
sieve	surface	unrelated	1.6	dev
bag	bin	cohyponym	2.8	test
wasp	sector	unrelated	1.4	test
cat	jaguar	hyponym	3.9	test
goose	mallard	distributional	5.0	test
library	bathroom	cohyponym	1.8	test
lizard	green	free_association	1.2	test
corn	notice	unrelated	1.1	test
falcon	telephone	unrelated	1.1	train
deer	shoot	functional	1.1	train
potato	chopstick	functional	1.1	test
hawk	wedding	unrelated	1.0	dev
trumpet	instrument	hypernym	3.7	test
flute	piccolo	hyponym	4.7	test
lizard	dinosaur	free_association	3.7	test
deer	arrow	functional	1.0	train
toaster	friend	hypernym	1.1	train
hawk	disease	unrelated	1.1	dev
trumpet	crown	visual	1.5	test
trout	anchovy	cohyponym	2.7	test
cranberry	systems	unrelated	1.2	test
radio	tambourine	functional	1.6	train
garlic	lasagna	functional	1.8	train
mug	juice	functional	1.6	train
ferry	practices	unrelated	1.3	train
falcon	guidance	unrelated	1.1	train
deer	doe	free_association	4.5	train
jacket	newmarket	cohyponym	1.2	train
hornet	seaplane	distributional	1.0	train
cranberry	figure	unrelated	1.4	test
goose	fool	hypernym	1.4	test
dress	hairpiece	hyponym	1.6	dev
giraffe	money	unrelated	1.2	train
cranberry	future	unrelated	1.2	test
freezer	rooms	unrelated	1.6	train
trumpet	way	unrelated	1.1	test
goat	shake	functional	1.1	train
poplar	birch	cohyponym	4.8	test
cranberry	shrub	hypernym	1.7	test
trumpet	player	free_association	1.6	test
oven	broiler	hyponym	3.0	train
goose	league	unrelated	1.2	test
library	candlelight	functional	1.3	test
lizard	snake	distributional	4.1	test
truck	projects	unrelated	1.5	dev
corn	conference	unrelated	1.1	test
deer	gun	functional	1.2	train
falcon	hawk	hypernym	4.8	train
falcon	birch	visual	1.3	train
cypress	market	unrelated	1.3	test
bottle	morning	unrelated	1.2	test
goose	barnacle	hyponym	1.3	test
dagger	slice	functional	1.3	test
lemon	ginger	distributional	3.3	train
castle	entrenchment	cohyponym	1.7	dev
falcon	dolphin	visual	1.9	train
truck	one	unrelated	1.4	dev
flute	rut	cohyponym	1.4	test
oven	capital	unrelated	1.0	train
dagger	skirt	visual	1.6	test
corn	sentimentality	hypernym	1.2	test
yacht	trout	visual	1.2	train
truck	machine	cohyponym	3.0	dev
swan	flamingo	visual	4.9	train
goose	flamingo	visual	4.2	test
sparrow	robin	free_association	4.6	train
wasp	document	unrelated	1.2	test
cranberry	risk	unrelated	1.0	test
bus	learning	unrelated	1.0	train
mug	flask	distributional	4.0	train
mug	cage	visual	1.4	train
trout	sardine	visual	5.0	test
crow	dove	distributional	3.7	dev
beaver	groundhog	visual	4.1	train
hornet	thunderbolt	distributional	1.6	train
broccoli	spinach	free_association	4.1	train
dress	player	unrelated	1.1	dev
ferry	option	unrelated	1.2	train
bottle	goblet	functional	3.8	test
dress	rig	hyponym	1.4	dev
cypress	beechwood	cohyponym	4.2	test
crow	farm	free_association	1.3	dev
dagger	daggers	distributional	4.2	test
goat	door	unrelated	1.4	train
library	antechamber	cohyponym	4.2	test
castle	bristol	functional	1.0	dev
goose	clown	cohyponym	1.3	test
bus	motorcycle	functional	2.6	train
ferry	term	functional	1.4	train
mug	bottle	cohyponym	4.3	train
freezer	barn	visual	1.7	train
poplar	chair	unrelated	1.5	test
castle	tower	free_association	4.4	dev
crow	raven	cohyponym	4.8	dev
freezer	refrigerator	free_association	4.5	train
bag	plate	hyponym	1.4	test
bag	sandbag	hyponym	3.4	test
crow	term	functional	1.4	dev
dagger	stick	visual	3.3	test
television	strength	unrelated	1.3	test
sparrow	railway	unrelated	1.5	train
ferry	boat	hypernym	4.5	train
potato	parsnip	cohyponym	4.0	test
lemon	bar	functional	1.7	train
sieve	elements	unrelated	1.2	dev
crow	finch	distributional	4.4	dev
bottle	water	free_association	2.1	test
chair	records	unrelated	1.2	train
frog	iguana	visual	3.7	dev
broccoli	operations	unrelated	1.5	train
scooter	chair	visual	1.5	test
deer	code	unrelated	1.0	train
goldfish	hours	unrelated	1.4	test
goat	choice	unrelated	1.0	train
poplar	article	unrelated	1.0	test
freezer	mat	visual	1.2	train
cat	cougar	visual	4.2	test
trumpet	games	unrelated	1.5	test
coat	clothing	hypernym	4.0	train
lemon	nip	hypernym	1.0	train
scooter	vessel	hypernym	2.1	test
dagger	capital	cohyponym	1.0	test
deer	order	unrelated	1.2	train
wasp	night	unrelated	1.0	test
alligator	glass	unrelated	1.0	test
crow	nightingale	distributional	4.7	dev
sparrow	material	unrelated	1.2	train
falcon	salamander	visual	1.5	train
crow	methods	unrelated	1.0	dev
crow	bay	cohyponym	1.3	dev
corn	soybeans	distributional	4.3	test
